timestamp,open,high,low,close
2026-09-02T12:45:00Z,7698.00,7700.00,7696.00,7699.00
2026-09-02T12:48:00Z,7699.00,7701.00,7697.00,7700.00
2026-09-02T12:51:00Z,7700.00,7702.00,7698.00,7699.50
2026-09-02T12:54:00Z,7699.50,7701.50,7697.50,7700.50
2026-09-02T12:57:00Z,7700.50,7703.00,7698.50,7702.00
2026-09-02T13:00:00Z,7702.00,7704.00,7700.00,7701.00
2026-09-02T13:03:00Z,7701.00,7703.00,7699.00,7700.00
2026-09-02T13:06:00Z,7700.00,7702.00,7697.00,7698.00
2026-09-02T13:09:00Z,7698.00,7700.00,7695.00,7696.00
2026-09-02T13:12:00Z,7696.00,7699.00,7693.00,7697.00
2026-09-02T13:15:00Z,7697.00,7700.00,7694.00,7699.00
2026-09-02T13:18:00Z,7699.00,7701.00,7695.00,7697.00
2026-09-02T13:21:00Z,7697.00,7700.00,7694.00,7696.00
2026-09-02T13:24:00Z,7696.00,7699.00,7693.00,7695.00
2026-09-02T13:27:00Z,7695.00,7698.00,7692.00,7696.00
2026-09-02T13:30:00Z,7696.00,7699.00,7691.00,7694.00
2026-09-02T13:33:00Z,7694.00,7697.00,7692.00,7695.00
2026-09-02T13:36:00Z,7695.00,7698.00,7693.00,7696.00
2026-09-02T13:39:00Z,7696.00,7700.00,7694.00,7698.00
2026-09-02T13:42:00Z,7698.00,7701.00,7695.00,7699.00
2026-09-02T13:45:00Z,7699.00,7701.00,7692.00,7696.00
2026-09-02T13:48:00Z,7696.00,7698.00,7689.00,7694.00
2026-09-02T13:51:00Z,7694.00,7711.00,7693.00,7708.00
2026-09-02T13:54:00Z,7708.00,7715.00,7705.00,7712.00
2026-09-02T13:57:00Z,7712.00,7716.00,7710.00,7714.00
