timestamp,open,high,low,close,volume
2026-08-03T09:45:00-04:00,19000,19030,18980,19020,1000
2026-08-03T10:00:00-04:00,19020,19050,19010,19040,1100
2026-08-03T10:15:00-04:00,19040,19060,19020,19055,1050
2026-08-03T10:30:00-04:00,19055,19080,19040,19070,1200
2026-08-03T10:45:00-04:00,19070,19075,19020,19030,1400
2026-08-03T11:00:00-04:00,19030,19035,18990,19000,1300
2026-08-03T11:15:00-04:00,19000,19010,18960,18970,1500
2026-08-03T11:30:00-04:00,18970,19020,18950,19010,1800
2026-08-03T11:45:00-04:00,19010,19040,18980,19035,1600
2026-08-03T12:00:00-04:00,19035,19060,19000,19050,1250
2026-08-03T12:15:00-04:00,19050,19070,19020,19065,1150
2026-08-03T12:30:00-04:00,19065,19090,19040,19080,1000
2026-08-03T12:45:00-04:00,19080,19095,19050,19060,950
2026-08-03T13:00:00-04:00,19060,19070,19020,19030,1000
2026-08-03T13:15:00-04:00,19030,19050,19000,19020,1050
2026-08-03T13:30:00-04:00,19020,19040,18990,19000,1100
2026-08-03T13:45:00-04:00,19000,19030,18980,19020,900
2026-08-03T14:00:00-04:00,19020,19045,18995,19040,1000
2026-08-03T14:15:00-04:00,19040,19070,19010,19060,1100
2026-08-03T14:30:00-04:00,19060,19080,19030,19070,1150
2026-08-03T14:45:00-04:00,19070,19090,19040,19085,1000
2026-08-03T15:00:00-04:00,19085,19100,19050,19090,950
2026-08-03T15:15:00-04:00,19090,19120,19070,19110,1000
2026-08-03T15:30:00-04:00,19110,19130,19090,19120,900
